SPECGRP,SPECGRPN,NAME,ADDRESS,CITY,ZIP,COUNTY,ASSETS,DEPOSITS, DEPDOM ,EQUITY,NETINC,ROA,ROE,OFFDOM,WEBADDR,NAMEHCR,ROAPTX,TRUST,CERTCONS,BKCLASS,CHRTAGNT,ENDEFYMD,ESTYMD,INSDATE,REPDTE,RISDATE,STCHRTR,STCNTY,FLDOFF,REGAGNT,OFFFOR,STALPHCR,STMULT,SUBCHAPS
4,Commercial Lending Specialization,Trustmark National Bank,248 East Capitol Street,Jackson,39201,Hinds,12093553,9532616,9532616,1456191,96709,1.07,9.04,227,http://www.trustmark.com,Trustmark Corporation,1.41,1,0,N,OCC,12/31/9999,1889-12-19,1/1/1934,9/30/2014,9/30/2014,0,28049,Jackson Ms,OCC,0,MS,1,0
4,Commercial Lending Specialization,Renasant Bank,209 Troy Street,Tupelo,38801,Lee,5736440,4767908,4767908,774244,46029,1.06,8.11,113,www.renasantbank.com,Renasant Corporation,1.53,1,0,NM,STATE,12/31/9999,2/27/1904,1/1/1934,9/30/2014,9/30/2014,1,28081,Jackson Ms,FDIC,0,MS,1,0
4,Commercial Lending Specialization,BankPlus,202 Jackson Street,Belzoni,39038,Humphreys,2422310,1926109,1926109,233180,16027,0.88,9.46,60,http://www.bankplus.net,Bancplus Corporation,1.21,1,0,NM,STATE,12/31/9999,1/1/1909,1/1/1934,9/30/2014,9/30/2014,1,28053,Jackson Ms,FDIC,0,MS,0,0
4,Commercial Lending Specialization,The Citizens National Bank of Meridian,512 22nd Avenue,Meridian,39301,Lauderdale,1084748,931423,931423,132402,10743,1.3,11.18,29,http://www.yourcnb.com,Citizens National Banc Corp.,1.3,1,0,N,OCC,12/31/9999,1888-01-01,1/1/1934,9/30/2014,9/30/2014,0,28075,Jackson Ms,OCC,0,MS,0,1
4,Commercial Lending Specialization,"The First,  A   National Banking Association",6480 Ushwy 98 West,Hattiesburg,39402,Lamar,1071293,902889,902889,103096,5149,0.69,7.02,28,www.thefirstbank.com,"First Bancshares, Inc., The",0.94,0,0,N,OCC,12/31/9999,8/5/1996,8/5/1996,9/30/2014,9/30/2014,0,28073,Jackson Ms,OCC,0,MS,1,0
4,Commercial Lending Specialization,State Bank & Trust Company,916 Highway 82 Bypass,Greenwood,38930,Leflore,973144,797637,797637,110337,4672,0.65,5.81,35,http://statebank1898.com,State Bank & Trust Company Employee Stock Ownership Plan,0.98,1,0,NM,STATE,12/31/9999,1898-11-01,1/1/1934,9/30/2014,9/30/2014,1,28083,Jackson Ms,FDIC,0,MS,1,0
4,Commercial Lending Specialization,Metropolitan Bank,201 S. Jackson Street,Crystal Springs,39059,Copiah,892294,735171,735171,75855,3749,0.56,6.86,11,http://www.themetropolitanbank.com,"Metropolitan Bancgroup, Inc.",0.93,0,0,NM,STATE,12/31/9999,10/11/1976,10/11/1976,9/30/2014,9/30/2014,1,28029,Jackson Ms,FDIC,0,MS,1,0
4,Commercial Lending Specialization,"The Citizens Bank of Philadelphia, Mississippi",521 Main Street,Philadelphia,39350,Neshoba,889492,696953,696953,77531,5913,0.89,10.94,23,www.thecitizensbankphila.com,Citizens Holding Company,1.11,1,0,NM,STATE,12/31/9999,1/1/1908,1/1/1934,9/30/2014,9/30/2014,1,28099,Jackson Ms,FDIC,0,MS,0,0
4,Commercial Lending Specialization,"The Peoples Bank, Biloxi, Mississippi",Lameuse And Howard Avenues,Biloxi,39533,Harrison,749573,449862,449862,98525,-828,-0.15,-1.13,19,thepeoples.com,Peoples Financial Corporation,-0.42,1,0,NM,STATE,12/31/9999,1896-04-13,1/1/1934,9/30/2014,9/30/2014,1,28047,Jackson Ms,FDIC,0,MS,0,0
4,Commercial Lending Specialization,BankFirst Financial Services,110 South Jefferson Street,Macon,39341,Noxubee,713634,626250,626250,68346,4558,0.86,8.76,11,http://www.bankfirstfs.com,Bankfirst Capital Corporation,1.27,0,0,SM,STATE,12/31/9999,1888-06-01,1/1/1934,9/30/2014,9/30/2014,1,28103,Jackson Ms,FED,0,MS,1,0
4,Commercial Lending Specialization,Community Bank of Mississippi,323 East Third Street,Forest,39074,Scott,688668,615936,615936,59801,5258,1.01,11.74,17,www.communitybank.net,"Community Bancshares Of Mississippi, Inc. Employee Stock Ownership Plan",1.55,0,0,NM,STATE,12/31/9999,8/14/1905,1/1/1934,9/30/2014,9/30/2014,1,28123,Jackson Ms,FDIC,0,MS,1,0
4,Commercial Lending Specialization,"Community Bank, Coast",677 Dr. Martin Luther King Jr. Boulevard,Biloxi,39530,Harrison,678003,586478,586478,74011,3563,0.73,6.45,17,www.communitybank.net,"Community Bancshares Of Mississippi, Inc. Employee Stock Ownership Plan",1.11,0,0,NM,STATE,12/31/9999,1/22/1996,1/22/1996,9/30/2014,9/30/2014,1,28047,Jackson Ms,FDIC,0,MS,1,0
4,Commercial Lending Specialization,Community Bank,300 Jessamine Street,Ellisville,39437,Jones,676421,601145,601145,60245,5884,1.18,13.08,11,www.communitybank.net,"Community Bancshares Of Mississippi, Inc. Employee Stock Ownership Plan",1.87,1,0,NM,STATE,12/31/9999,10/1/1902,1/1/1934,9/30/2014,9/30/2014,1,28067,Jackson Ms,FDIC,0,MS,0,0
4,Commercial Lending Specialization,Guaranty Bank and Trust Company,210 N. Hayden St,Belzoni,39038,Humphreys,599341,494285,494285,69490,6769,1.47,13.1,14,http://www.gbtonline.com,Guaranty Capital Corporation,1.47,1,0,NM,STATE,12/31/9999,5/17/1943,5/17/1943,9/30/2014,9/30/2014,1,28053,Jackson Ms,FDIC,0,MS,0,1
4,Commercial Lending Specialization,PriorityOne  Bank,220 North Main Avenue,Magee,39111,Simpson,554384,464034,464034,62485,6845,1.66,14.79,12,priorityonebank.com,Priorityone Capital Corporation,1.66,1,0,NM,STATE,12/31/9999,1/27/1975,1/27/1975,9/30/2014,9/30/2014,1,28127,Jackson Ms,FDIC,0,MS,0,1
4,Commercial Lending Specialization,First State Bank,708 Azalea Drive,Waynesboro,39367,Wayne,541028,388674,388674,56309,4302,1.08,10.59,12,http://firststatebnk.com,First State Corporation,1.46,1,0,NM,STATE,12/31/9999,5/1/1934,5/1/1939,9/30/2014,9/30/2014,1,28153,Jackson Ms,FDIC,0,MS,0,0
4,Commercial Lending Specialization,First Security Bank,295 Highway 6 West,Batesville,38606,Panola,491770,410004,410004,63829,3564,0.95,7.69,17,www.firstsecuritybk.com,Security Capital Corporation,1.24,1,0,NM,STATE,12/31/9999,7/1/1952,7/1/1952,9/30/2014,9/30/2014,1,28107,Memphis,FDIC,0,MS,0,0
4,Commercial Lending Specialization,"Community Bank, North Mississippi",900 North Main Street,Amory,38821,Monroe,471375,410966,410966,51155,2540,0.7,6.65,9,www.communitybank.net,"Community Bancshares Of Mississippi, Inc. Employee Stock Ownership Plan",1.09,1,0,NM,STATE,12/31/9999,5/20/1912,1/1/1934,9/30/2014,9/30/2014,1,28095,Jackson Ms,FDIC,0,MS,1,0
4,Commercial Lending Specialization,BNA Bank,205 Bankhead Street,New Albany,38652,Union,426329,359113,359113,56082,4360,1.36,10.96,5,www.bnabank.com,"Bna Bancshares, Inc.",1.68,1,0,NM,STATE,12/31/9999,1896-01-01,6/3/1965,9/30/2014,9/30/2014,1,28145,Memphis,FDIC,0,MS,0,0
4,Commercial Lending Specialization,First Bank,105 South Broadway Street,Mccomb,39648,Pike,386191,344208,344208,39453,3496,1.2,12.14,11,WWW.FIRSTBANKMS.COM,First Southwest Corporation,1.2,1,0,NM,STATE,12/31/9999,1895-06-25,1/1/1934,9/30/2014,9/30/2014,1,28113,Jackson Ms,FDIC,0,MS,0,1
4,Commercial Lending Specialization,Citizens Bank,814 Main Street,Columbia,39429,Marion,381216,329827,329827,36746,4839,1.72,18.49,7,WWW.CITIZENSBK.COM,Citizens Corporation,1.72,1,0,NM,STATE,12/31/9999,7/15/1914,1/1/1934,9/30/2014,9/30/2014,1,28091,Jackson Ms,FDIC,0,MS,0,1
4,Commercial Lending Specialization,United Mississippi Bank,203 South Commerce Street,Natchez,39120,Adams,362511,324159,324159,33141,2290,0.83,9.65,11,www.unitedmsbk.com,"Southwest Security, Inc.",0.83,0,0,NM,STATE,12/31/9999,5/14/1973,5/14/1973,9/30/2014,9/30/2014,1,28001,Jackson Ms,FDIC,0,MS,1,1
4,Commercial Lending Specialization,Bank of Commerce,310 Howard Street,Greenwood,38930,Leflore,337112,260248,260248,28397,3485,1.46,17.95,5,http://WWW.BANKCOM.COM,"Commerce Bancorp, Inc",2.1,1,0,NM,STATE,12/31/9999,8/4/1904,1/1/1934,9/30/2014,9/30/2014,1,28083,Jackson Ms,FDIC,0,MS,0,0
4,Commercial Lending Specialization,FIRST COMMERCIAL BANK,1300 Meadowbrook Road,Jackson,39211,Hinds,317984,256965,256965,35851,1934,0.89,7.39,2,http://www.firstcommercialbk.com,"First Commercial Bancshares, Inc.",1.27,1,0,NM,STATE,12/31/9999,10/12/2000,10/12/2000,9/30/2014,9/30/2014,1,28049,Jackson Ms,FDIC,0,MS,0,0
4,Commercial Lending Specialization,Magnolia State Bank,15 East Sixth Avenue,Bay Springs,39422,Jasper,315712,271154,271154,29477,2879,1.24,13.49,8,www.bankmagnolia.com,"Magnolia State Corporation, The",1.24,0,0,NM,STATE,12/31/9999,8/4/1975,8/4/1975,9/30/2014,9/30/2014,1,28061,Jackson Ms,FDIC,0,MS,0,1
4,Commercial Lending Specialization,RiverHills Bank,702 Market Street,Port Gibson,39150,Claiborne,283157,231674,231674,27427,3097,1.43,15.71,3,http://RIVERHILLSBANK.COM,Riverhills Capital Corporation,1.43,1,0,NM,STATE,12/31/9999,1890-02-01,1/1/1934,9/30/2014,9/30/2014,1,28021,Jackson Ms,FDIC,0,MS,0,1
4,Commercial Lending Specialization,Farmers and Merchants Bank,111 West Clayton Street,Baldwyn,38824,Prentiss,257553,191120,191120,36795,2403,1.31,9.06,8,www.fmbms.com, ,1.87,0,0,NM,STATE,12/31/9999,3/10/1941,3/10/1941,9/30/2014,9/30/2014,1,28117,Jackson Ms,FDIC,0, ,0,0
4,Commercial Lending Specialization,Century Bank,4282 Main Street,Lucedale,39452,George,254772,211627,211627,27856,1532,0.8,7.59,11,www.centurybankms.com,"Bancorp Of Lucedale, Inc.",1.08,0,0,NM,STATE,12/31/9999,6/1/1903,1/1/1934,9/30/2014,9/30/2014,1,28039,Jackson Ms,FDIC,0,MS,1,0
4,Commercial Lending Specialization,Peoples Bank,154 Maud Avenue,Mendenhall,39114,Simpson,245791,203862,203862,24101,4013,2.21,22.96,7,http://www.peoplesbank-ms.com,"Peoples Bancshares, Inc.",2.21,1,0,NM,STATE,12/31/9999,11/5/1908,1/1/1934,9/30/2014,9/30/2014,1,28127,Jackson Ms,FDIC,0,MS,1,1
4,Commercial Lending Specialization,FNB Oxford Bank,101 Courthouse Square,Oxford,38655,Lafayette,243948,210248,210248,32886,1729,0.96,7.17,6,http://www.fnboxford.com,First National Holding Company,1.19,1,0,SM,STATE,12/31/9999,10/10/1910,1/1/1934,9/30/2014,9/30/2014,1,28071,Memphis,FED,0,MS,0,0
4,Commercial Lending Specialization,Covenant Bank,206 Sharkey Avenue,Clarksdale,38614,Coahoma,226402,180899,180899,25636,942,0.54,5,6,www.covenantbank.net,Covenant Financial Corporation,0.67,0,0,NM,STATE,12/31/9999,10/25/2000,10/25/2000,9/30/2014,9/30/2014,1,28027,Memphis,FDIC,0,MS,0,0
4,Commercial Lending Specialization,The Cleveland State Bank,110 Commerce Avenue,Cleveland,38732,Bolivar,215391,187490,187490,20773,1097,0.67,7.43,5,www.clevelandstatebank.com,"Cleveland State Bancorp, Inc.",0.9,1,0,NM,STATE,12/31/9999,2/8/1908,1/1/1934,9/30/2014,9/30/2014,1,28011,Jackson Ms,FDIC,0,MS,0,0
4,Commercial Lending Specialization,Mechanics Bank,319 North Main Street,Water Valley,38965,Yalobusha,213985,190426,190426,22046,741,0.46,4.6,6,http://www.mechanicsbankms.com,Mechanics Banc Holding Company,0.64,1,0,NM,STATE,12/31/9999,1892-01-01,1/1/1934,9/30/2014,9/30/2014,1,28161,Memphis,FDIC,0,MS,0,0
4,Commercial Lending Specialization,Pike National Bank,350 Rawls Drive,Mccomb,39648,Pike,203490,154528,154528,28201,1280,0.84,6.23,10,www.pnb-ms.net,Pcnb Corp.,1.34,0,0,N,OCC,12/31/9999,9/30/1985,9/30/1985,9/30/2014,9/30/2014,0,28113,Jackson Ms,OCC,0,MS,0,0
4,Commercial Lending Specialization,First National Bank of Picayune,121 East Canal Street,Picayune,39466,Pearl River,199939,173347,173347,26182,3552,2.36,18.27,6,http://www.fnbop.com,First National Corporation Of Picayune,2.36,0,0,N,OCC,12/31/9999,7/31/1947,7/31/1947,9/30/2014,9/30/2014,0,28109,Jackson Ms,OCC,0,MS,0,1
4,Commercial Lending Specialization,Sycamore Bank,301 East Main Street,Senatobia,38668,Tate,194575,173724,173724,19157,1314,0.87,9.33,5,www.sycamorebank.com,Tate Financial Corporation,1.27,1,0,NM,STATE,12/31/9999,3/13/1900,1/1/1934,9/30/2014,9/30/2014,1,28137,Memphis,FDIC,0,MS,0,0
4,Commercial Lending Specialization,First Southern Bank,1075 Highway 98,Columbia,39429,Marion,193829,167689,167689,19105,1419,0.97,10.2,7,http://www.fsb-ms.com,First Federal Bancorp,0.97,0,0,NM,STATE,12/31/9999,3/28/1960,3/28/1960,9/30/2014,9/30/2014,1,28091,Jackson Ms,FDIC,0,MS,0,1
4,Commercial Lending Specialization,Bank of Wiggins,109 West Pine Avenue,Wiggins,39577,Stone,185868,157529,157529,27054,1362,0.98,6.96,3,http://www.bankofwiggins.com, ,1.39,1,0,NM,STATE,12/31/9999,12/4/1916,1/1/1934,9/30/2014,9/30/2014,1,28131,Jackson Ms,FDIC,0, ,0,0
4,Commercial Lending Specialization,"Copiah Bank, National Association",101 Caldwell Drive,Hazlehurst,39083,Copiah,167731,149136,149136,17756,1118,0.9,8.56,8,copiahbank.com,"Copiah Bancshares, Inc.",1.33,1,0,N,OCC,12/31/9999,1891-10-26,1/1/1934,9/30/2014,9/30/2014,0,28029,Jackson Ms,OCC,0,MS,0,0
4,Commercial Lending Specialization,The Bank of Forest,211 West Third Street,Forest,39074,Scott,147772,120807,120807,21126,1017,0.92,6.57,3,http://bkforest.com,First Forest Corporation,0.92,0,0,NM,STATE,12/31/9999,3/27/1900,1/1/1934,9/30/2014,9/30/2014,1,28123,Jackson Ms,FDIC,0,MS,0,1
4,Commercial Lending Specialization,Bank of Brookhaven,411 Brookway Boulevard,Brookhaven,39601,Lincoln,139274,120270,120270,16525,1034,0.99,8.72,1,http://www.bankofbrookhaven.com,Haven Capital Corporation,1.35,1,0,NM,STATE,12/31/9999,1/31/2000,1/31/2000,9/30/2014,9/30/2014,1,28085,Jackson Ms,FDIC,0,MS,0,0
4,Commercial Lending Specialization,Bank of Kilmichael,120 North Depot Avenue,Kilmichael,39747,Montgomery,137592,121630,121630,12169,1400,1.37,15.87,3,www.bankofkilmichael.com,"Kilmichael Bancorp, Inc.",1.37,1,0,NM,STATE,12/31/9999,9/16/1904,1/1/1934,9/30/2014,9/30/2014,1,28097,Jackson Ms,FDIC,0,MS,0,1
4,Commercial Lending Specialization,Bank of Franklin,9 Main Street,Meadville,39653,Franklin,128857,116202,116202,12177,793,0.83,9.06,5,www.bankoffranklin.com,"Franklin Bancshares, Inc.",1.22,1,0,NM,STATE,12/31/9999,1/12/1912,1/1/1934,9/30/2014,9/30/2014,1,28037,Jackson Ms,FDIC,0,MS,0,0
4,Commercial Lending Specialization,First State Bank,College Avenue And Alderson Street,Holly Springs,38635,Marshall,113908,101828,101828,11664,228,0.26,2.66,3,http://www.firststatenet.com,First State Capital Corporation,0.29,1,0,NM,STATE,12/31/9999,7/1/1916,1/1/1934,9/30/2014,9/30/2014,1,28093,Memphis,FDIC,0,MS,0,0
4,Commercial Lending Specialization,Charter Bank,"1721 Medical Park Drive, Suite 103",Biloxi,39531,Harrison,113777,97881,97881,14188,27,0.03,0.26,4,www.mycharterbank.com, ,0.08,0,0,NM,STATE,12/31/9999,3/11/2008,3/11/2008,9/30/2014,9/30/2014,1,28047,Jackson Ms,FDIC,0, ,0,0
4,Commercial Lending Specialization,Oxford University Bank,1500 University Avenue,Oxford,38655,Lafayette,113693,97441,97441,10528,527,0.64,6.85,5,http://www.oubol.com,"Lafayette Bancorp, Inc.",0.88,0,0,NM,STATE,12/31/9999,11/27/2000,11/27/2000,9/30/2014,9/30/2014,1,28071,Memphis,FDIC,0,MS,0,0
